Dia,Hora,ERD1,ERD2,ERD3,ERD4,ERD5,ERD6,ERD7,ERD8,"
"
10-03-2023,15:33:54,"['01', '00', '03']","
"
10-03-2023,15:33:55,"['01', '00', '03']","
"
10-03-2023,15:33:56,"['01', '00', '03']","
"
10-03-2023,15:33:57,"['01', '00', '03']","
"
10-03-2023,15:33:58,"['01', '00', '03']","
"
10-03-2023,15:34:00,"['01', '00', '03']","
"
10-03-2023,15:34:01,"['01', '00', '03']","
"
10-03-2023,15:34:02,"['01', '00', '03']","
"
10-03-2023,15:34:03,"['01', '00', '03']","
"
10-03-2023,15:34:04,"['01', '00', '03']","
"
10-03-2023,15:34:05,"['01', '00', '03']","
"
10-03-2023,15:34:06,"['01', '00', '03']","
"
10-03-2023,15:34:07,"['01', '00', '03']","
"
10-03-2023,15:34:08,"['01', '00', '03']","
"
10-03-2023,15:34:09,"['01', '00', '03']","
"
10-03-2023,15:34:10,"['01', '00', '03']","
"
10-03-2023,15:34:11,"['01', '00', '03']","
"
10-03-2023,15:34:12,"['01', '00', '03']","
"
10-03-2023,15:34:13,"['01', '00', '03']","
"
10-03-2023,15:34:14,"['01', '00', '03']","
"
10-03-2023,15:34:15,"['01', '00', '03']","
"
